Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-16 00:00:00-04:00,516.8800048828125,517.22998046875,508.6000061035156,509.0400085449219,19711900,0.0,0.0
2025-09-17 00:00:00-04:00,510.6199951171875,511.2900085449219,505.92999267578125,510.0199890136719,15816600,0.0,0.0
2025-09-18 00:00:00-04:00,511.489990234375,513.0700073242188,507.6600036621094,508.45001220703125,18913700,0.0,0.0
2025-09-19 00:00:00-04:00,510.55999755859375,519.2999877929688,510.30999755859375,517.9299926757812,52474100,0.0,0.0
2025-09-22 00:00:00-04:00,515.5900268554688,517.739990234375,512.5399780273438,514.4500122070312,20009300,0.0,0.0
2025-09-23 00:00:00-04:00,513.7999877929688,514.5900268554688,507.30999755859375,509.2300109863281,19799600,0.0,0.0
2025-09-24 00:00:00-04:00,510.3800048828125,512.47998046875,506.9200134277344,510.1499938964844,13533700,0.0,0.0
2025-09-25 00:00:00-04:00,508.29998779296875,510.010009765625,505.0400085449219,507.0299987792969,15786500,0.0,0.0
2025-09-26 00:00:00-04:00,510.05999755859375,513.9400024414062,506.6199951171875,511.4599914550781,16213100,0.0,0.0
2025-09-29 00:00:00-04:00,511.5,516.8499755859375,508.8800048828125,514.5999755859375,17617800,0.0,0.0
2025-09-30 00:00:00-04:00,513.239990234375,518.1599731445312,509.6600036621094,517.9500122070312,19728200,0.0,0.0
2025-10-01 00:00:00-04:00,514.7999877929688,520.510009765625,511.69000244140625,519.7100219726562,22632300,0.0,0.0
2025-10-02 00:00:00-04:00,517.6400146484375,521.5999755859375,510.67999267578125,515.739990234375,21222900,0.0,0.0
2025-10-03 00:00:00-04:00,517.0999755859375,520.489990234375,515.0,517.3499755859375,15112300,0.0,0.0
2025-10-06 00:00:00-04:00,518.6099853515625,531.030029296875,518.2000122070312,528.5700073242188,21388600,0.0,0.0
2025-10-07 00:00:00-04:00,528.2899780273438,529.7999877929688,521.4400024414062,523.97998046875,14615200,0.0,0.0
2025-10-08 00:00:00-04:00,523.0999755859375,526.9500122070312,523.0900268554688,524.8499755859375,13315508,0.0,0.0
